title,date,text

In 2011, complaints were filed with the CCI against certain automakers on the ground that the genuine spare parts of automobiles manufactured by the OEMs were not made freely available in the open market in India and, accordingly, anti-competitive practices were carried out by the OEMs for being indulged in anti-competitive practices. The CCI ordered an investigation on the matter, and subsequently, the director general of the CCI expanded the scope of investigation to other car manufacturers operating in India, including TML.

Table of Contents

In 2014, the CCI held that the automobile manufacturers, including TML, had engaged in anti-competitive practices and imposed a penalty of 2% of their total turnover in India. TML was ordered to pay a penalty of Rs.13,465million within a period of 60 days of the receipt of order. TML challenged the order of the CCI in the Delhi High Court on constitutional issues. In 2019, the High Court allowed the petitions, partly by striking down Section 22(3) of the Competition Act. Also in 2019, the Supreme Court extended the relief that was granted by Delhi High Court during the pendency of the matter before it. As of the date of this annual report on Form 20-F, the matter remains to be listed for further proceedings in due course.

In another matter, two of our ex-dealers filed information with the CCI alleging that TML engaged in anti-competitive practices by colluding with its finance subsidiaries (TMFL and TMFSL) and abused its dominance in the market. In May 2021, the CCI issued an order directing the director general of the CCI to initiate an investigation against TML, but did not otherwise make any final or binding observations or determinations (including with respect to any possible penalties or fines) with regard to the allegations. As of the date of this annual report on Form 20-F, we have not received any notice or query from the director general of the CCI. See Item 4.B 'Information on the Company-Business Overview-Governmental Regulations-Legal Proceedings' for more information. As of the date of this annual report on Form 20-F, we are preparing internally to respond to the queries as soon as raised by the director general of the CCI.

Our business, prospects, financial condition and results of operations would be materially and adversely affected by the application or interpretation of any provision of the Competition Act, or any enforcement proceedings initiated by the CCI, or any adverse publicity that may be generated due to scrutiny or prosecution by the CCI or if any prohibition or substantial penalties are levied under the Competition Act.

Compliance with new or changing corporate governance and public disclosure requirements adds uncertainty to our compliance policies and increases our costs of compliance.

We are subject to a complex and continuously changing regime of laws, rules, regulations and standards relating to accounting, corporate governance and public disclosure, including the Sarbanes-Oxley Act of 2002 and U.S. Securities and Exchange Commission (the 'SEC') regulations, Securities and Exchange Board of India (the 'SEBI') regulations, New York Stock Exchange (the 'NYSE') listing rules, and the Companies Act, as well as Indian stock market listing regulations. New or changed laws, rules, regulations and standards may lack specificity and be subject to varying interpretations. Under applicable Indian laws, for example, remuneration packages may, in certain circumstances, require shareholders' approval. New guidance and revisions may be provided by regulatory and governing bodies, which could result in continuing uncertainty and higher costs of compliance. We are committed to maintaining high standards of corporate governance and public disclosure. However, our efforts to comply with evolving regulations have resulted in, and are likely to continue to result in, increased general and administrative expenses and a diversion of management resources and time. In addition, there can be no guarantee that we will always succeed in complying with all applicable laws, regulations and standards.

The Companies Act has effected significant changes to the existing Indian company law framework, such as in the provisions related to the issue of capital, disclosures in offering documents, corporate governance, accounting policies and audit matters, related party transactions, class action suits against companies by shareholders or depositors, prohibitions on loans to directors and insider trading, including restrictions on derivative transactions concerning a company's securities by directors and key managerial personnel. The Companies Act may subject us to higher compliance requirements, increase our compliance costs and divert management's attention. We are also required to spend, in each financial year, at least 2% of our average net profits during the three immediately preceding financial years, calculated for Tata Motors Limited on a standalone basis under Ind AS, toward corporate social responsibility activities. Furthermore, the Companies Act imposes greater monetary and other liability on the Company and its Directors for any non-compliance. Due to limited relevant jurisprudence, in the event that our interpretation of the Companies Act differs from, or contradicts with, any judicial pronouncements or clarifications issued by the Government of India in the future, we may face regulatory actions or be required to undertake remedial steps. In addition, some of the provisions of the Companies Act overlap with other existing laws and regulations (such as corporate governance provisions and insider trading regulations issued by SEBI). SEBI promulgated the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (the 'Listing Regulations'), which are applicable to all Indian companies with listed securities. Pursuant to the Listing Regulations, the Company is required to establish and maintain a vigilance mechanism for Directors and employees to report their concerns about unethical behavior, actual or suspected fraud or violation of the Company's code of conduct (the 'Tata Code of Conduct') or ethics policy under our whistleblower policy (the 'Whistleblower Policy'), to implement increased disclosure requirements for price sensitive information and to conduct detailed director familiarization programs and comprehensive disclosures thereof, in accordance with the Listing Regulations. While we have been able to comply with such requirements to date, we cannot assure you that we will be able to maintain compliance with such requirements in the future. Furthermore, the Company cannot currently determine the impact of certain provisions of the Companies Act and the revised SEBI corporate governance standards. Any increase in our compliance requirements or associated costs may have a material and adverse effect on our business, prospects, financial condition and results of operations.

Table of Contents

We are subject to risks associated with legal proceedings and governmental investigations, including potential adverse publicity as a result thereof.

We are and may be involved from time to time in civil, labor, administrative or tax proceedings arising in the ordinary course of business. It is not possible to predict the potential for, or the ultimate outcomes of, such proceedings, some of which may be unfavorable to us. In such cases, we may incur costs and any mitigating measures (including provisions taken on our balance sheet) adopted to protect against the impact of such costs may not be adequate or sufficient. In addition, adverse publicity surrounding legal proceedings, government investigations or allegations may also harm our reputation and brands.

Furthermore, any regulatory action taken or penalties imposed by regulatory authorities may have significant adverse financial and reputational consequences on our business and have a material adverse effect on our results of operations and financial condition.

In any of the geographical markets in which we operate, we could be subject to additional tax liabilities.

Evaluating and estimating our provision and accruals for our taxes requires significant judgement. We operate in multiple geographical markets and our operations in each market are susceptible to additional tax assessments and audits. Our collaborations with business partners are similarly susceptible to such tax assessments. Authorities may engage in additional reviews, inquiries and audits that disrupt our operations or challenge our conclusions regarding tax matters. Any resulting tax assessment may be accompanied by a penalty (including revocation of a benefit or exemption from tax) or additional fee for failing to make the initial payment.

Our tax rates may be affected by earnings estimation errors, losses in jurisdictions that do not grant a related tax benefit, changes in currency rates, acquisitions, investments, or changes in laws, regulations, or practices. Additionally, government fiscal or political pressures may increase the likelihood of adverse or aggressive interpretations of tax laws or regulations or the imposition of arbitrary or onerous taxes, interest charges and penalties. Tax assessments may be levied even where we consider our practices to be in compliance with tax laws and regulations. Should we challenge such taxes or believe them to be without merit, we may nonetheless be required to pay them. These amounts may be materially different from our expected tax assessments and could additionally result in expropriation of assets, attachment of additional securities, liens, imposition of royalties or new taxes and requirements for local ownership or beneficiation.

We may have to comply with more stringent foreign investment regulations in India in the event of an increase in shareholding of non-residents or if we are considered as engaged in a sector in which foreign investment is restricted.

Indian companies that are owned or controlled by non-resident persons are subject to investment restrictions specified in the Consolidated Foreign Direct Investment Policy ('Consolidated FDI Policy'). Under the Consolidated FDI Policy issued in 2017, an Indian company is considered to be 'owned' by non-resident persons if more than 50% of its equity interest is beneficially owned by non-resident persons. The non-resident equity shareholding in the Company may, in the near future, exceed 50%, thereby resulting in the Company being considered as being 'owned' by non-resident entities under the Consolidated FDI Policy. In such an event, any investment by the Company in existing subsidiaries, associates or joint ventures and new subsidiaries, associates or joint ventures will be considered as indirect foreign investment and shall be subject to various requirements specified under the Consolidated FDI Policy, including sectoral limits, approval requirements and pricing guidelines, as may be applicable.

Furthermore, as part of our automotive business, we supply, and have in the past supplied, vehicles to Indian military and paramilitary forces and in the course of such activities have obtained an industrial license from the Department of Industrial Policy. The Consolidated FDI policy applies different foreign investment restrictions to companies based upon the sector in which they operate. While we believe we are an automobile company by virtue of the significance of our automobile operations, in the event that foreign investment regulations applicable to the defense sector (including under the Consolidated FDI Policy) are made applicable to us, we may face more stringent foreign investment restrictions and other compliance requirements compared to those applicable to us presently, which, in turn, could materially affect our business, prospects, financial condition and results of operations.

We require certain approvals or licenses in the ordinary course of business, and the failure to obtain or retain them in a timely manner, or at all, could materially and adversely affect our operations.

We require certain statutory and regulatory permits, licenses and approvals to carry out our business operations. Our ability to obtain such permits, licenses and approvals depends, among other matters, on the information we provide as part of the application processes, as well as the internal review and consideration processes of the various issuing agencies. While we make every effort to obtain the necessary permits, licenses or approvals, and their renewals, we cannot assure you that we will receive them in a timely manner, or at all.

In addition, there is a risk that any approvals, licenses, registrations and permits issued to us would be suspended or revoked in the event of non-compliance or alleged non-compliance by us with any terms or conditions thereof, or pursuant to any regulatory action.

Table of Contents

Any of the above could materially and adversely affect our business, prospects, financial condition and results of operations.

Risks Associated with Investments in an Indian Company

Political changes in the Government of India could delay and/or affect the further liberalization of the Indian economy and materially and adversely affect economic conditions in India, generally, and our business, in particular.

Our business could be significantly influenced by economic policies adopted by the Government of India. Since 1991, successive governments have pursued policies of economic liberalization and financial sector reforms. The Government of India has at various times announced its general intention to continue India's current economic and financial liberalization and deregulation policies. However, protests against such policies, which have occurred in the past, could slow the pace of liberalization and deregulation. The rate of economic liberalization could change, and specific laws and policies affecting foreign investment, currency exchange rates and other matters affecting investment in India could change as well.

Any significant change in the Government of India's economic liberalization and deregulation policies could disrupt business and economic conditions in India generally, and could have a material adverse effect on our business, prospects, financial condition and results of operations.

Any downgrading of India's debt rating by a domestic or international rating agency could negatively impact our business.

Any adverse revisions to India's credit ratings for domestic and international debt by rating agencies could adversely impact our ability to raise additional financing, as well as the interest rates and other commercial terms at which such additional financing is available. This could have a material adverse effect on our financial results, business prospects, ability to obtain financing for capital expenditures and the price of the Company's Shares and ADSs.

We may be materially and adversely affected by Reserve Bank of India policies and actions.

The Indian stock exchanges are vulnerable to fluctuations based on changes in monetary policy formulated by the RBI. We can make no assurance about future market reactions to RBI announcements and their impact on the price of the Company's Shares and ADSs. Furthermore, our business could be significantly impacted were the RBI to make major alterations to monetary or fiscal policy. Certain changes, including changes to interest rates, could negatively affect our sales and consequently our Revenue, which could have a material adverse effect on our business, prospects, financial condition and results of operations. While the RBI has initiated several relief measures over the course of 2020, such as providing moratorium on loans, relaxing provisioning norms towards certain loans and taking other measures to enhance liquidity for non-banking financial companies ('NBFCs'), there remains considerable uncertainty around the COVID-19 pandemic and further relief measures and policy actions that may be needed to assist economic recovery.

Rights of shareholders under Indian law may be more limited than under the laws of other jurisdictions.

The memorandum and articles of association of the Company (the 'Articles of Association') and Indian law govern the Company's corporate affairs. Legal principles relating to these matters and the validity of corporate procedures, directors' fiduciary duties and liabilities, and shareholders' rights may differ from those that would apply to a company incorporated in another jurisdiction. Shareholders' rights under Indian law may not be as extensive as shareholders' rights under the laws of other countries or jurisdictions, including the United States. You may also have more difficulty in asserting your rights as a shareholder of the Company than you would as a shareholder of a corporation organized in another jurisdiction.

The market value of your investment may fluctuate due to the volatility of the Indian securities market.

Stock exchanges in India, including BSE Limited (the 'BSE') have, in the past, experienced substantial fluctuations in the prices of their listed securities. Such fluctuations, if they continue or recur, could affect the market price and liquidity of the securities of Indian companies, including the Company's Shares and, in turn, the Company's ADSs. These problems have included temporary exchange closures, broker defaults, settlement delays and strikes by brokers. Volatility in other stock exchanges, including, but not limited to, those in the United Kingdom and China, may affect the prices of securities in India, including the Company's Shares, which may in turn affect the price of the Company's ADSs. In addition, the governing bodies of the stock exchanges in India have from time to time imposed restrictions on trading in certain securities, limitations on price movements and margin requirements. Furthermore, from time to time, disputes have occurred between listed companies and stock exchanges and other regulatory bodies, which in some cases may have had a negative effect on market sentiment.

There may be a differing level of regulation and monitoring of the Indian securities markets and the activities of investors, brokers and other participants, compared to the United States. For example, while SEBI has prescribed regulations and guidelines in relation to disclosure requirements, insider dealing and other matters relevant to the Indian securities market, there may still be less publicly available information about Indian companies than for United States domestic companies.

Table of Contents

Investors may have difficulty enforcing judgments against us or our management.

The Company is a public limited company incorporated in India. The majority of the Company's Directors and executive officers are residents of India and substantially all of the assets of those persons and a substantial portion of the Company's assets are located in India. As a result, it may not be possible for you to effect service of process within the United States upon those persons or it may be difficult to effect service of process within the United States on the Company. In addition, you may be unable to enforce judgments obtained in courts of the United States against those persons outside the jurisdiction of their residence, including judgments predicated solely upon U.S. federal securities laws. Moreover, it is unlikely that a court in India would award damages on the same basis as a foreign court if an action were brought in India or enforce foreign judgments if it viewed the amount of damages as excessive or inconsistent with public policy.

Section 44A of the Indian Code of Civil Procedure, 1908, as amended (the 'Civil Code') provides that where a foreign judgment has been rendered by a superior court (within the meaning of the section) in any country or territory outside of India which the Government of India has by notification declared to be a reciprocating territory, such foreign judgment may be enforced in India by proceedings in execution as if the judgment had been rendered by an appropriate court in India. However, the enforceability of such judgments is subject to the exceptions set forth in Section 13 of the Civil Code.

Section 44A of the Civil Code is applicable only to monetary decrees not being in the nature of amounts payable in respect of taxes or other charges of a similar nature or in respect of fines or other penalties and does not include arbitration awards.

If a judgment of a foreign court is not enforceable under Section 44A of the Civil Code as described above, it may be enforced in India only by a suit filed upon the judgment, subject to Section 13 of the Civil Code and not by proceedings in execution. Accordingly, as the United States has not been declared by the Government of India to be a reciprocating territory for the purposes of Section 44A, a judgment rendered by a court in the United States may not be enforced in India except by way of a suit filed upon the judgment.

The suit must be brought in India within three years from the date of the judgment in the same manner as any other suit filed to enforce a civil liability in India. Generally, there are considerable delays in the resolution of suits by Indian courts.

A party seeking to enforce a foreign judgment in India is required to obtain prior approval from the RBI, under the Foreign Exchange Management Act, 1999 ('FEMA') to repatriate any amount recovered pursuant to such enforcement. Any judgment in a foreign currency would be converted into Indian rupees on the date of judgment and not on the date of payment.

Risks Associated with the Company's Shares and ADSs

Fluctuations in the exchange rate between the Indian rupee and the U.S. dollar may have a material adverse effect on the market value of the Company's ADSs and Shares, independent of our operating results.

The exchange rate between the Indian rupee and the U.S. dollar has been volatile in the past and may materially fluctuate in the future. Fluctuations in the exchange rate between the Indian rupee and the U.S. dollar may affect, among others things, the U.S. dollar-equivalents of the price of the Company's Shares in Indian rupees as quoted on stock exchanges in India and, as a result, the market price of the ADSs. Such fluctuations may also affect the U.S. dollar-equivalent of any cash dividends in Indian rupees received on the Shares represented by the ADSs and the U.S. dollar-equivalent of the proceeds in Indian rupee of a sale of Shares in India.

Holders of ADSs have fewer rights than shareholders and must act through the depositary to exercise those rights.

Although ADS holders have a right to receive any dividends declared in respect of the Shares underlying the ADSs, they cannot exercise voting or other direct rights as a shareholder with respect to the Shares underlying the ADSs. Citibank, N.A. as depository (the 'depositary') is the registered shareholder of the deposited Shares underlying the Company's ADSs, and only the depositary may exercise the rights of shareholders in connection with the deposited Shares. The depositary will notify ADS holders of upcoming votes and arrange to deliver our voting materials to ADS holders only if requested by the Company. The depositary will try, insofar as practicable, subject to Indian laws and the provisions of the Articles of Association, to vote or have its agents vote the deposited securities as instructed by the ADS holders. If the depositary receives voting instructions in time from an ADS holder which fails to specify the manner in which the depositary is to vote the Shares underlying such ADS holder's ADSs, such ADS holder will be deemed to have instructed the depositary to vote in favor of the items set forth in such voting instructions. If the depositary does not receive timely instructions from an ADS holder, such ADS holder shall be deemed to have instructed the depositary to give a discretionary proxy to a person designated by us, subject to the conditions set forth in the deposit agreement. If requested by the Company, the depositary is required to represent all Shares underlying ADSs, regardless of whether timely instructions have been received from such ADS holders, for the sole purpose of establishing a quorum at a meeting of shareholders.

Table of Contents

In addition, in your capacity as an ADS holder, you will not be able to examine the Company's accounting books and records, or exercise appraisal rights. Registered holders of the Company's Shares withdrawn from the depositary arrangements will be entitled to vote and exercise other direct shareholder rights in accordance with Indian law. However, a holder may not know about a meeting sufficiently in advance to withdraw the underlying Shares in time. Furthermore, an ADS holder may not receive voting materials if the Company does not instruct the depositary to distribute such materials, or may not receive such voting materials in time to instruct the depositary to vote.

ADSs are transferable on the books of the depositary. However, the depositary may close its transfer books at any time or from time to time when it deems expedient in connection with the performance of its duties. In addition, the depositary may refuse to deliver, transfer or register transfers of ADSs generally when our books or the books of the depositary are closed, or at any time if we or the depositary deem it advisable to do so because of any requirement of law or of any government or governmental body, or under any provision of the deposit agreement (as defined below), or for any other reason.

For further details on the terms and conditions of the Company's ADSs and the rights and obligations of the Company's ADS holders, please see the amended and restated deposit agreement, dated as of September 27, 2004, among the Company, Citibank, N.A., as depository, and all holders and beneficial owners of ADSs issued thereunder, as amended and supplemented by Amendment No. 1, dated as of December 16, 2009, hereinafter referred to as the 'deposit agreement,' which is incorporated by reference into this annual report on Form 20-F.

Moreover, pursuant to Indian regulations, the Company is required to offer its shareholders preemptive rights to subscribe for a proportionate number of Shares to maintain their existing ownership percentages prior to the issue of new Shares. These rights may be waived by a resolution passed by at least 75% of the shareholders of the Company present and voting at a general meeting. ADS holders may be unable to exercise preemptive rights for subscribing to these new Shares unless a registration statement under the Securities Act is effective or an exemption from the registration requirements is available to us. The Company's decision to file a registration statement would be based on the costs, timing, potential liabilities and the perceived benefits associated with any such registration statement and the Company does not commit that it would file such a registration statement. If any issue of securities is made to the shareholders of the Company in the future, such securities may also be issued to the depository, which may sell such securities in the Indian securities market for the benefit of the holders of ADSs. There can be no assurance as to the value, if any, the depositary would receive upon the sale of such rights or securities. To the extent that ADS holders are unable to exercise preemptive rights, their proportionate ownership interest in our company would be reduced.

The Government of India's regulation of foreign ownership could materially reduce the price of the ADSs.

Foreign ownership of Indian securities is regulated and is partially restricted. In addition, there are restrictions on the deposit of Shares into the Company's ADS facilities. ADSs issued by companies in certain emerging markets, including India, may trade at a discount to the market price of the underlying shares, in part because of the restrictions on foreign ownership of the underlying shares and in part because ADSs are sometimes perceived to offer less liquidity than underlying Shares that can be traded freely in local markets by both local and international investors. See Item 10.D 'Additional Information-Exchange Controls.'

There are restrictions on daily movements in the price of the Shares, which may constrain a shareholder's ability to sell, or the price at which a shareholder can sell, Shares at a particular point in time.

The Shares are subject to a daily circuit breaker imposed by stock exchanges in India on publicly listed companies that includes the Company, which does not allow transactions causing volatility in the price of the Shares above a certain threshold. This circuit breaker operates independently from the index-based market-wide circuit breakers generally imposed by SEBI on Indian stock exchanges. The percentage limit on the Company's circuit breaker is set by the stock exchanges in India based on the historical volatility in the price and trading volume of the Company's Shares. This circuit breaker effectively acts to limit the upward and downward movements in the price of the Company's Shares. As a result of this circuit breaker, the Company cannot make any assurance regarding the ability of the shareholders of the Company to sell their Shares or the price at which such shareholders may be able to sell their Shares.

With effect from April 1, 2018, any gain realized on the sale of the Shares will be subject to capital gains tax in India See Item 10.E 'Additional Information-Taxation-Taxation of Capital Gains and Losses-Indian Taxation-Capital Gains' of this annual report on Form 20-F for further information on the application of capital gains tax in India to the shareholders of the Company and ADS holders of the Company.

Table of Contents

Item 4.

Information on the Company

A. History and Development of the Company

The Company was incorporated on September 1, 1945, as a public limited company under the Indian Companies Act VII of 1913 as Tata Locomotive and Engineering Company Limited, and it received a certificate of commencement of business on November 20, 1945. The Company's name was changed to Tata Engineering and Locomotive Company Limited on September 24, 1960, and to Tata Motors Limited on July 29, 2003. Tata Motors Limited is incorporated and domiciled in India. We commenced operations as a steam locomotive manufacturer, but this business was discontinued in 1971. Since 1954, we have been manufacturing automotive vehicles. The automotive vehicle business commenced with the manufacture of Commercial Vehicles under financial and technical collaboration with Daimler-Benz AG (now Daimler AG) of Germany. This agreement ended in 1969. We produced only Commercial Vehicles until 1991; thereafter we started producing Passenger Vehicles as well. Together with its consolidated subsidiaries, the Company forms the Tata Motors Group.

In March 2004, we acquired Daewoo Commercial Vehicle Co. Ltd. (now known as Tata Daewoo Commercial Vehicle Co. Ltd. ('TDCV')). TDCV is engaged in the business of manufacturing heavy, medium and light vehicles such as cargo, trucks, dump trucks, tractor trailers and special purpose vehicle mixers.

In September 2004, the Company became the first company from India's automotive sector to be listed on the NYSE. The Company's ADSs are traded on the NYSE under the symbol 'TTM'. The Company's Ordinary Shares and 'A' Ordinary Shares are traded on the BSE under the codes 500570 and 570001, respectively, and the National Stock Exchange of India Ltd. (the 'NSE') under the symbols 'TATAMOTORS' and 'TATAMTRDVR', respectively.

In June 2008, we acquired the Jaguar Land Rover business from Ford. Jaguar Land Rover is a global automotive business, which designs, manufactures and sells Jaguar luxury sedans, sports cars and luxury performance SUVs and Land Rover premium all-terrain vehicles, as well as related parts, accessories and merchandise. The Jaguar Land Rover business has internationally recognized brands, a product portfolio of award-winning luxury performance cars, luxury performance SUVs and premium all-terrain vehicles, brand-specific global distribution networks and research and development capabilities. As a part of our acquisition of the Jaguar Land Rover business, we acquired three major manufacturing facilities located in Halewood, Solihull and Castle Bromwich and two advanced design and engineering facilities located at Whitley and Gaydon, all in the United Kingdom, together with national sales companies in several countries.

We are one of the leading global automobile manufacturers in the world, providing integrated and smart e-mobility solutions to customers in over 125 countries. With an employee base of over 75,000, our top-of-the-line manufacturing facilities are located across India, the United Kingdom, the United States, Italy and South Korea. We are the only OEM in India that offers an extensive range of mobility solutions for our automotives, covering cars, Utility Vehicles, trucks, and buses. We have a strong global network of 118 subsidiaries, equity accounted associates and joint ventures, including the Jaguar Land Rover in the United Kingdom and the Tata Daewoo in South Korea. We offer a broad portfolio of automotive products, ranging from sub-1 ton to 55 ton GVW trucks (including pickup trucks) to small, medium, and large buses and coaches to Passenger Cars, premium luxury cars and SUVs.

We operate six principal automotive manufacturing facilities in India, including at: (i) Jamshedpur in the state of Jharkhand, (ii) Pune in the state of Maharashtra, (iii) Lucknow in the state of Uttar Pradesh, (iv) Pantnagar in the state of Uttarakhand, (v) Sanand in the state of Gujarat and (vi) Dharwad in the state of Karnataka. We also operate four principal automotive manufacturing facilities in the United Kingdom through our Jaguar Land Rover business, including at: (i) Solihull in the West Midlands (ii) Castle Bromwich, also in the West Midlands, (iii) Halewood in Liverpool and (iv) the engine manufacturing center at Wolverhampton in the West Midlands. In Fiscal 2015, Jaguar Land Rover opened its inaugural overseas manufacturing facility in China, the China Joint Venture. In June 2016, Jaguar Land Rover opened a new manufacturing plant in Itatiaia, Brazil, with an annual production capacity of 24,000 units. Jaguar Land Rover now produces the I-PACE battery electric vehicle and the new Jaguar E-PACE in Graz, Austria under its manufacturing partnership with Magna Steyr. Furthermore, Jaguar Land Rover's 150,000 units per annum manufacturing plant in Nitra, Slovakia opened in October 2018 and is currently producing the Land Rover Discovery and the all-new Land Rover Defender.

Table of Contents

We expanded our international operations through mergers and acquisitions, and in India we have made strategic alliances involving non-Indian companies in recent years, including, but not limited to, the following:

•

We have a joint venture agreement with FCA Italy Spa ('FCA') (previously known as Fiat Group Automobiles S.p.A., Italy), which is part of the Stellantis N.V. Group. Together with the FCA, we operate a facility located at Ranjangaon in Maharashtra to manufacture Passenger Cars, engines and transmissions for the Indian and overseas markets. Established in April 2008, the plant currently manufactures the Fiat Linea, Fiat Punto, Tata Indica, Jeep, Nexon, Tata Bolt and Tata Zest vehicles, as well as components for such vehicles, such as engines and transmissions. During May 2012, both joint venture partners decided to re-align their Indian joint venture. Accordingly, in March 2013, we and Fiat Group signed a restructuring framework agreement (the 'RFA'), which provides, among other matters:

○

a joint arrangement to manufacture and assemble Fiat-branded products, Tata products and any new products (including for third parties) in accordance with the terms and conditions settled in the RFA, with current third-party orders to continue in accordance with the prior terms; and

○

the distribution company, owned by FCA, is responsible for distribution of the Fiat vehicles and parts from April 1, 2013.

•

In December 2006, we entered into a joint venture agreement with Thonburi Automotive Assembly Plant Co. Ltd. (the 'Thonburi Group') to manufacture pickup trucks in Thailand. As of March 31, 2021, we own 97.21% of the joint venture, while the Thonburi Group owns the remaining 2.79%. The joint venture, which began vehicle production in March 2008, enabled us to access the Thailand market, which is a major market for pickup trucks, as well as other potential markets in the ASEAN region. On July 31, 2018, the Company decided to cease its current manufacturing operations of Tata Motors Thailand Ltd and shall continue to address the Thailand market with a revamped product portfolio, suitable to local market needs, delivered through a CBU distribution model.

•

In October 2010, TML acquired an 80% equity interest in Trilix Srl. ('Trilix'), a design and engineering company, in line with our objective to enhance our styling and design capabilities to meet global standards. With effect from December 6, 2018, TML increased its equity interest in Trilix to 100%. Trilix offers design and engineering services in the automotive sector, including styling, architecture, packaging, surfacing, macro and micro-feasibility studies and detailed engineering development.

•

Jaguar Land Rover opened a manufacturing plant for the China Joint Venture in Changshu, China in October 2014 and began manufacturing the Range Rover Evoque shortly thereafter. Manufacture of the Land Rover Discovery Sport commenced in the third quarter of Fiscal 2016 followed by the long wheel base Jaguar XFL in the first half of Fiscal 2017 that went on sale in September 2016 and subsequently the long wheel base XEL that went on sale in December 2017. Total phase one investment in the joint venture was approximately RMB10.9 billion, which contributed toward the establishment of the manufacturing plant, research and development center and engine production facility. Jaguar Land Rover committed to invest RMB3.5 billion of equity capital in the China Joint Venture, representing 50% of the share capital and voting rights of the joint venture company. Investment to support phase two, which will add additional manufacturing capacity, may be supported by further capital injections from Jaguar Land Rover and Chery. In July 2017, the China Joint Venture opened an engine manufacturing facility to produce the Jaguar Land Rover 2.0-Liter petrol Ingenium engine for installation into vehicles produced locally at the joint venture plant in Changshu.

•

In July 2015, Jaguar Land Rover agreed to a manufacturing partnership with Magna Steyr, an operating unit of Magna International Inc, to build the all-electric Jaguar I-PACE and the Jaguar E-PACE in Graz, Austria.

•

In December 2015, Jaguar Land Rover concluded an agreement with the Government of the Slovak Republic for the development of a new manufacturing plant in western Slovakia with the first cars expected to be produced in 2018. The facility represents an investment of GBP1 billion and initial annual capacity of up to 150,000 units. The plant opened in October 2018 and currently produces the Land Rover Discovery and the all-new Land Rover Defender.

•

On March 30, 2017, the Board approved a scheme of merger and arrangement between TML and TML Drivelines Limited, a wholly-owned subsidiary of TML. The merger was completed on April 30, 2018. The merger had no impact on our consolidated financial statements.

•

On May 23, 2018, the Board approved the sale of TML's shareholding in its wholly-owned subsidiary, TAL Manufacturing Solutions Limited, to Tata Advanced Systems Ltd., a Tata group company. The divestment of TAL Manufacturing Solutions Limited was closed on March 29, 2019, and TML has received Rs.5,334 million, and has acquired the non-aerospace business of TAL Manufacturing Solutions Limited for Rs.1 million. The acquisition of the non-aerospace business had no impact on our consolidated financial statements.

•

Brabo Robotics and Automation Limited ('BRAL') was incorporated on July 17, 2019, as a-wholly-owned subsidiary of Tata Motors Limited with an operating plan to take over the robotics and factory automation ('RAB') division of TML as a going concern. The RAB business of TAL Manufacturing Solutions Limited was transferred to TML with effect from April 30, 2019. In Fiscal 2021, we decided to shut down the operations of BRAL.

Table of Contents

•

During the Fiscal 2021, as a part of TMLs internal restructuring process, TML has transferred the outsourcing business with effect from October 1, 2020, to TML Business Services Limited ('TMLBSL'), a wholly-owned subsidiary of TML. This had no impact on our consolidated financial statements.

Please see Item 4.B 'Information on the Company-Business Overview-Our Strategy-Capital and Product Development Expenditures' and Item 5.B 'Operating and Financial Review and Prospect-Liquidity and Capital Resources-Capital Expenditures' of this annual report on Form 20-F for details on our principal capital expenditures.

Through our subsidiary and associate companies, we are engaged in providing engineering and automotive solutions, construction equipment manufacturing, automotive vehicle components manufacturing and supply chain activities, machine tools and factory automation solutions, high-precision tooling and plastic and electronic components for automotive and computer applications, and automotive retailing and service operations. Tata Technologies Limited ('TTL') is engaged in providing specialized engineering and design services, product life cycle management ('PLM') and product-centric IT services to leading global manufacturers. TTL's customers are among the world's premier automotive, aerospace, industrial heavy machinery and consumer durables manufacturers. As of March 31, 2021, we held 74.42% stake in TTL, and TTL had 11 subsidiaries and one joint venture.

TML Distribution Company Limited ('TDCL'), TML's wholly-owned subsidiary, was incorporated on March 28, 2008. TDCL provides distribution and logistics support for distribution of our products throughout India. TDCL commenced its operations in Fiscal 2009.

